Creator Name,Creator Channel,Link Primary,Platform Primary,Platform Secondary,Origin List,Topic/Category,Geography,Groups,New Tags,Special Lists,Notes
Dan Shafer,The Recombobulation Area,https://www.therecombobulationarea.news/,Newsletter - Substack,,Chris Cillizza State Reporters,"Politics, Local",Wisconsin - US,"Civic Life, Power & Politics",,,"NOTE: They are indepenently publishing. But joined Civic Media. I think they clearly stay in. but something to discuss about federaed outfits. Frankly, a good example of how independent creators can team up but stay independent"
Michael MacKelvie,Michael MacKelvie,https://www.youtube.com/@michaelmackelvie​,Video - YouTube,,Joon Lee,"Sports, Explanatory",National - US,"Journalism Formats, Lifestyle & Personal Life",,,
Kofie Yeboah,Kofie,https://www.youtube.com/channel/UCMHtVwCWo88DFzF6PikFOfQ,Video - YouTube,,Joon Lee,"Sports, Culture",National - US,"Culture & Media, Lifestyle & Personal Life",,,Note: Kevin Merida mentors this dude!
Brett Kollmann,Brett Kollmann,https://www.youtube.com/c/BrettKollmann,Video - YouTube,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Foolish Baseball,Foolish Baseball,https://www.youtube.com/c/FoolishBaseball,Video - YouTube,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Trevor May,iamtrevormay,https://www.twitch.tv/iamtrevormay,Video - Twitch,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Kenny Beecham,KOT4Q,https://www.youtube.com/@KOT4Q,Video - YouTube,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Thinking Basketball,Thinking Basketball,https://www.thinkingbasketball.net,Podcast,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,"Note: This person was listed for their blog. They have a YT channel they haven't updated in a year. BUt it was MASSIVLEY popular. Now they have an active podcast/patreon. Called it, just Podcast"
Jon Bois,Secret Base,https://www.youtube.com/@SecretBaseSBN,Video - YouTube,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Jxmyhighroller,Jxmyhighroller,https://www.youtube.com/@JxmyHighroller,Video - YouTube,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Brandon Perna,Thats Good Sports,https://www.youtube.com/user/thatsgoodsports,Video - YouTube,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Colby Dorfman,Half Past Moon,https://www.instagram.com/halfpast.noon,Video - Instagram,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Zack Richard,NFL Historic,https://www.instagram.com/nflhistoric/,Video - YouTube,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Omar Raja,Omar Raja,https://www.instagram.com/omar,Video - YouTube,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Charlotte Wilder,Sports Gossip Show,https://www.sportsgossipshow.com,Newsletter - Substack,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Madeline Hill,Sports Gossip Show,https://www.sportsgossipshow.com,Newsletter - Substack,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
Molly Morrison,Molly Morrison,https://www.mollyhmorrison.com,Video - Instagram,,Joon Lee,Sports,National - US,Lifestyle & Personal Life,,,
James Li,51-49 with James Li,https://www.youtube.com/@5149jamesli,Video - YouTube,,Taylor Lorenz's Interview,"General News, Politics",National - US,"General News, Power & Politics",,,He got banned from TikTok and fired from Breaking Points podcast. He's continuing on YT.
Noah Carter,Noah Glenn Carter,https://www.tiktok.com/@noahglenncarter,Video - TikTok,,Taylor Lorenz's Interview,"General News, Internet Culture, Tech",National - US,"General News, Culture & Media, Money & Work",,,
Monique,Blackbeltbabe,https://www.tiktok.com/@blackbeltbabe,Video - TikTok,,Taylor Lorenz's Interview,General News,National - US,General News,,,
Link Lauren,Link Lauren,https://www.tiktok.com/@itslinklauren,Video - TikTok,,Taylor Lorenz's Interview,General News,National - US,General News,,,
Jessica Defino,Flesh World,https://jessicadefino.substack.com/,Newsletter - Substack,,Liz's List,"Culture, Fashion, Media/Power",National - US,"Culture & Media, Lifestyle & Personal Life",,,
Rachel Bade,The Inner Circle,https://rachaelbade.substack.com/,Newsletter - Substack,,Liz's List,Politics,National - US,Power & Politics,,,
Steve Vladeck,One First,https://www.stevevladeck.com/,Newsletter - Substack,,Liz's List,Politics,National - US,Power & Politics,,,
Ryan Welton,Oklahoma Memo,https://oklahomamemo.com/,Website,,Liz's List,"Politics, Local news",Oklahoma - US,"Civic Life, Power & Politics",,,
Jay Zawaski,I'm Fat Podcast,https://open.spotify.com/show/2fUdUU8eVkKHanhSFDNFs5,Podcast,,Liz Chicago Cohort,"Comedy, Food, Culture","Chicago, IL","Culture & Media, Lifestyle & Personal Life",,,
Pete Kastanes,Vanished Chicagoland Stories,https://vanishedchicagoland.blog/home/,Podcast,,Liz Chicago Cohort,"Culture, Explanatory, Local, History","Chicago, IL","Culture & Media, Journalism Formats, Civic Life",,,
Jaime Black,Chicagoverse,https://podcasts.apple.com/us/podcast/dynasty-podcasts-chicagoverse/id1193859818,Podcast,,Liz Chicago Cohort,"Tech, Culture","Chicago, IL","Culture & Media, Money & Work",,,"Added ""Music"" to topic list. "
Caroline Patton,Chicago Show Calendar,https://chicagoshowcal.substack.com/,Newsletter - Substack,,Liz Chicago Cohort,"Culture, Local, Music, Things to do","Chicago, IL","Culture & Media, Civic Life, Lifestyle & Personal Life",,,"She's primarily a utililty - lists of upcoming band shows. Providing a real service for her audience - we may want to figure out some kind of ""utility"" category."
Theresa Goodrich,Living Landmarks Of Chicago,https://chicagolandmarks.substack.com/,Newsletter - Substack,,Liz Chicago Cohort,"Culture, Architecture, Local, History, Things to do","Chicago, IL","Culture & Media, Civic Life, Lifestyle & Personal Life",,,
Eric Zorn,The Picayune Sentinel,https://ericzorn.substack.com/,Newsletter - Substack,,Liz Chicago Cohort,"Government Accountability, Politics, Local","Chicago, IL","Power & Politics, Civic Life",,,Former Chicago Tribune columnist
Blog A Bull,Blogabull.com,https://www.blogabull.com/,Newsletter - Substack,,Liz Chicago Cohort,"Sports, Local","Chicago, IL","Civic Life, Lifestyle & Personal Life",,,
Dennis Lee,Food Is Stupid,https://foodisstupid.substack.com/,Newsletter - Substack,,Liz Chicago Cohort,"Things to do, Recipes, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
"Dennis Lee (yes, the same guy)",The Party Cut,https://thepartycut.substack.com/,Newsletter - Substack,,Liz Chicago Cohort,"Things to do, Restaurants, Local","Chicago, IL","Civic Life, Lifestyle & Personal Life",,,
Michael Nagrant,The Hunger,https://thehunger.substack.com/,Newsletter - Substack,,Liz Chicago Cohort,"Restaurants, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,Former Chicago Sun-Times food critic. Should we have a category for legacy media refugees? 
Austin Berg,The Last Ward,https://www.thelastward.org/,Newsletter - Substack,,Liz Chicago Cohort,"Politics, Government Accountability, Local","Chicago, IL","Power & Politics, Civic Life",,,This is tied to a think-tank. It's written by their president. I think it's okay - but we flag that they have a clear political bent.
H Kapp-Klote,The Chicago 312,https://hs-newsletter-e91163.beehiiv.com/,Newsletter - Beehiiv,,Liz Chicago Cohort,"Government Accountability, Politics, Local, Local news","Chicago, IL","Power & Politics, Civic Life",,,"How are we thinking about the diff between the ""local"" and ""local news"" topic?"
Ricardo Gamboa,The Hoodoise,https://hoodoisie.wordpress.com/about/,Podcast,,Liz Chicago Cohort,"Culture, Government Accountability, Politics, Local, Identity/Belonging","Chicago, IL","Culture & Media, Power & Politics, Social Issues, Civic Life",,,
"Sara Faddah, Dario Durham",77 Flavors Of Chicago,https://www.77flavorschi.com,Video - Instagram,,Liz Chicago Cohort,"Restaurants, History, Culture, Local","Chicago, IL","Culture & Media, Civic Life, Lifestyle & Personal Life",,,
"Patrick, Jeremy, Randy Richardson",Wrigleyville Nation,https://www.wrigleyvillenation.com/about/,Website,,Liz Chicago Cohort,"Sports, Local","Chicago, IL","Civic Life, Lifestyle & Personal Life",,,"Added ""Podcast - YouTube"" category"
Pat The Designer (P. Kidd),Windy City Breeze,https://www.youtube.com/@TheWindyCityBreeze,Video - YouTube,,Liz Chicago Cohort,"Sports, Local","Chicago, IL","Civic Life, Lifestyle & Personal Life",,,
Taylor Justin,The Haute Seeker,https://thehauteseeker.com/about/,Website,,Liz Chicago Cohort,"Things to do, Restaurants, Lifestyle, Food, Fashion, Design, Culture, Local","Chicago, IL","Culture & Media, Lifestyle & Personal Life, Civic Life",,,
Florian Sohnke,Chicago Contrarian,https://www.chicagocontrarian.com/about,Website,,Liz Chicago Cohort,"Government Accountability, Politics, Local, Crime","Chicago, IL","Civic Life, Power & Politics",,,"Added ""Crime"" category. There are many contributors to this site, but I listed the founder."
Josh Horwitz,350 Chicago,https://350chicago.substack.com/about,Newsletter - Substack,,Liz Chicago Cohort,Climate/Environment,"Chicago, IL","Science, Health & Environment",,,"Listed EIC, but this is a small indie nes org. "
Andrew Donlan,Still Gotta Come Through Chicago,https://sgctc.substack.com/,Newsletter - Substack,,Liz Chicago Cohort,"Sports, Local","Chicago, IL","Civic Life, Lifestyle & Personal Life",,,
Grace Andrews,Grace Andrews,https://www.tiktok.com/@grace.andrewsss?lang=en,Video - TikTok,,Liz Chicago Cohort,"Travel, Lifestyle","Chicago, IL",Lifestyle & Personal Life,,,She's a travel tiktoker - lots of vids from Bali and Las Vegas where you go along with her. I guess it's journalism. We should talk about these edge cases.
Andrew Kammerer,Andrew Kammerer,https://www.tiktok.com/@andrewsdailyday,Video - TikTok,,Liz Chicago Cohort,"Health/Wellness, Local, Day in a life, Food, Things to do","Chicago, IL","Journalism Formats, Lifestyle & Personal Life, Science, Health & Environment, Civic Life",,,
Kaylee Jo Flores,Kaylee Jo Chicago,https://www.tiktok.com/@kayleejochicago?lang=en,Video - TikTok,,Liz Chicago Cohort,"Things to do, Restaurants, Museums, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life, Culture & Media",,,
Kennedy Claire Bloom,KeninChicago,https://www.tiktok.com/@keninchicago?lang=en,Video - TikTok,,Liz Chicago Cohort,"Things to do, Restaurants, Lifestyle, Food, Fashion, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Cori Hanna,Cori In Chicago,https://www.tiktok.com/@coriinthecity?lang=en,Video - TikTok,,Liz Chicago Cohort,"Things to do, Travel, Restaurants, Lifestyle, Food, Bars, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Megan Schibelka,Megan Schibelka,https://www.tiktok.com/@meganschibelka?lang=en,Video - TikTok,,Liz Chicago Cohort,"Things to do, Travel, Restaurants, Lifestyle, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Renee Koontz,Chicago By Ren,https://www.tiktok.com/@chicago.by.ren?lang=en,Video - TikTok,,Liz Chicago Cohort,"Things to do, Restaurants, Lifestyle, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Hunter Haines,Hunter Haines,https://www.tiktok.com/@hunter_haines,Video - TikTok,,Liz Chicago Cohort,"Things to do, Restaurants, Lifestyle, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Jonah Fialkow,Jewish Jonah,https://www.tiktok.com/@jewishjonah,Video - TikTok,,Liz Chicago Cohort,"Comedy, Sports, Identity/Belonging, Food, Day in a life, Local","Chicago, IL","Culture & Media, Journalism Formats, Lifestyle & Personal Life, Social Issues, Civic Life",,,
Chase Vondran,Explore With Chase,https://www.tiktok.com/@explorewithchase,Video - TikTok,,Liz Chicago Cohort,"Things to do, Travel, Restaurants, Lifestyle, LGBTQIA","Chicago, IL","Social Issues, Lifestyle & Personal Life",,,
Mauna Eats Chicago,Mauna Eats Chicago,https://www.tiktok.com/@maunaeatschicago?lang=en,Video - TikTok,,Liz Chicago Cohort,"Restaurants, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Amin Tomalieh,Chicago Food Guide,https://www.tiktok.com/@chicagofoodguide?lang=en,Video - TikTok,,Liz Chicago Cohort,"Things to do, Restaurants, Recipes, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Mcamila Gallegor,Chicago Food Guide,https://www.tiktok.com/@chicagofoodguide?lang=en,Video - TikTok,,Liz Chicago Cohort,"Things to do, Restaurants, Recipes, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Joshua Trunck,Chicago Food HQ,https://www.tiktok.com/@chicagofoodhq,Video - TikTok,,Liz Chicago Cohort,Tech,"Chicago, IL",Money & Work,,,
Erica Noblecilla,Erica Eats Everything,https://www.tiktok.com/@ericaeatseverything,Video - TikTok,,Liz Chicago Cohort,"Restaurants, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Whats The Word,Whats The Word,https://www.tiktok.com/@whatsthewordtv,Video - TikTok,,Liz Chicago Cohort,"Local, Culture","Chicago, IL","Culture & Media, Civic Life",,,
Sarah Yi,A Girl About Chicago,https://www.tiktok.com/@agirlaboutchicago?lang=en,Video - TikTok,,Liz Chicago Cohort,"Local, Design, Lifestyle, Food, Restaurants","Chicago, IL","Culture & Media, Lifestyle & Personal Life, Civic Life",,,
Dean Lauvina,DeanChicago,https://www.tiktok.com/@deanchicago,Video - TikTok,,Liz Chicago Cohort,"Local, Real Estate","Chicago, IL","Civic Life, Money & Work",,,
Emilia Marie,Emilia Marie Home,https://www.tiktok.com/@emiliamariehome,Video - TikTok,,Liz Chicago Cohort,"Design, Lifestyle","Chicago, IL","Culture & Media, Lifestyle & Personal Life",,,
Samantha Roby,Chicago Food Authority,https://www.tiktok.com/@chicagofoodauthority?lang=en,Video - TikTok,,Liz Chicago Cohort,"Things to do, Restaurants, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Jai,Lavish Food Life,https://www.tiktok.com/@lavishfoodlife,Video - TikTok,,Liz Chicago Cohort,"Travel, Restaurants, Lifestyle, Food, Bars, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Alexandra Stewart,Sassy Confetti,https://www.tiktok.com/@.sassyconfetti,Video - TikTok,,Liz Chicago Cohort,"Things to do, Restaurants, Lifestyle, Food, Bars, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Briana Houston,Chef Bri,https://www.tiktok.com/@tastesofbri?lang=en,Video - TikTok,,Liz Chicago Cohort,"Recipes, Food, Health/Wellness","Chicago, IL","Lifestyle & Personal Life, Science, Health & Environment",,,
Jonathan Zaragoza,goatboyintl,https://www.tiktok.com/@goatboyintl?lang=en,Video - TikTok,,Liz Chicago Cohort,"Recipes, Food, Identity/Belonging","Chicago, IL","Lifestyle & Personal Life, Social Issues",,,
Chris Dolo,Chris Dolo,https://www.tiktok.com/@.chrisdolo?lang=en,Video - TikTok,,Liz Chicago Cohort,"Restaurants, Recipes, Food, Local","Chicago, IL","Lifestyle & Personal Life, Civic Life",,,
Jen In Chicago,Jen In Chicago,https://www.tiktok.com/@jen_in_chicago,Video - TikTok,,Liz Chicago Cohort,"Local, Lifestyle, Day in a life","Chicago, IL","Journalism Formats, Lifestyle & Personal Life, Civic Life",,,
Shermann Dilla Thomas,6figga_dilla,https://www.instagram.com/6figga_dilla/?hl=en,Video - Instagram,,Liz Chicago Cohort,"Local, History","Chicago, IL","Culture & Media, Civic Life",,,
Maureen Kelleher,Board Rule,https://board-rule.ghost.io/,Newsetter - Ghost,,Liz Chicago Cohort,"Local, Government Accountability, Politics","Chicago, IL","Power & Politics, Civic Life",,,
The Bigs,The Bigs,https://www.thebigs.us/,Website,,Liz Chicago Cohort,"Local, Sports","Chicago, IL","Civic Life, Lifestyle & Personal Life",,,
Sixty Inches from Center,Sixty Inches from Center,https://sixtyinchesfromcenter.org/,Website,,Liz Chicago Cohort,"Local, Culture, History, Museums, Art","Chicago, IL","Culture & Media, Civic Life",,Worker-led collective,"NEW - this is a worker-led collective. Are we including or maybe making a special list? Also added ""Art"" topic."
Krystal Ball,Breaking Points,https://www.youtube.com/c/breakingpoints,Video - YouTube,,News coverage,Politics,Virginia - US,Power & Politics,,,Married to Saager - POLITICAL FLAG
Saagar Enjeti,Breaking Points,https://www.youtube.com/c/breakingpoints,Video - YouTube,,News coverage,Politics,"Washington, D.C.",Power & Politics,,,Former Daily Caller - POLITICAL FLAG
Meena Thiruvengadam,Travel with Meena,https://travelwithmeena.com/,Website,,Ryan's List,Travel,"Chicago, IL",Lifestyle & Personal Life,,,
Ariella Steinhorn,Hard Reset Media,https://www.hardresetmedia.com/,Newsletter - Substack,,Ryan's List,"Tech, Politics","New York, NY","Power & Politics, Money & Work",,,
Joel Bervell,Medical Mythbuster,https://www.tiktok.com/@joelbervell,Video - TikTok,https://www.instagram.com/joelbervell,Ryan's List,Health/Wellness,Washington - US,"Science, Health & Environment",,,
Sanaz Saleh-Ebrahimi,Sanaz Cooks,https://www.tiktok.com/@sanaz.cooks,Video - TikTok,,Ryan's List,"Health/Wellness, Food, Science",Germany,"Lifestyle & Personal Life, Science, Health & Environment",,,"Iranian, accounts under attack"
Seulki Lee,Dunia Media,https://www.youtube.com/@the_dunia_media,Video - YouTube,,Ryan's List,World,South Korea,General News,,,
Kaya Yurieff,Scalable,https://scalablepod.co/,Newsletter - Beehiiv,,Ryan's List,Media/Power,"New York, NY",Culture & Media,,,
Jasmine Enberg,Scalable,https://scalablepod.co/,Newsletter - Beehiiv,,Ryan's List,Media/Power,"New York, NY",Culture & Media,,,
Sammy Roth,Climate Colored Goggles,https://www.climatecoloredgoggles.com/,Newsletter - Substack,,Ryan's List,"Climate/Environment, Entertainment/Hollywood","Los Angeles, CA","Science, Health & Environment, Culture & Media",,,
Ryan Holiday,Daily Stoic,https://www.instagram.com/dailystoic/,Video - Instagram,,Ryan's List,"Explanatory, Parenting",Texas - US,"Journalism Formats, Lifestyle & Personal Life",,,This is pretty self-help-y. Gotta be careful not to overindex on this
Mark Manson,Subtle Art of Not Giving a F*ck,https://markmanson.net/podcast,Podcast,,Ryan's List,Explanatory,California - US,Journalism Formats,,,Self-helpy
Moses Sibley,Made by Mojo,https://www.instagram.com/_madebymojo/,Video - Instagram,,Ryan's List,"Local, Film/Movies","Boston, MA","Culture & Media, Civic Life",,,Filmmakers?
Matthew Dickey,Street Scape Curator,https://www.instagram.com/streetscapecurator,Video - Instagram,,Ryan's List,"Local, Architecture, Photography","Boston, MA","Culture & Media, Civic Life",,,
Alex Falcone,Alex Falcone,https://www.instagram.com/alexfalcone/?hl=en,Video - Instagram,,Ryan's List,"Comedy, Explanatory, Climate/Environment","Los Angeles, CA","Science, Health & Environment, Culture & Media, Journalism Formats",,,Comedians?
Valentin Farkasch,Orbit for Creators,https://www.youtube.com/@orbitforcreators,Video - YouTube,,Ryan's List,Media/Power,Austria,Culture & Media,,,
Fernando Hurtado,In the Hyphen,https://www.youtube.com/@byfernandoh,Video - YouTube,,Ryan's List,"Identity/Belonging, Culture","Los Angeles, CA","Culture & Media, Social Issues",,,
Joon Lee,I am Joon Lee,https://www.youtube.com/@iamjoonlee,Video - YouTube,,Ryan's List,"Sports, Internet Culture","New York, NY","Culture & Media, Lifestyle & Personal Life",,,
Brett Bristow,Tech with Brett,https://www.youtube.com/@TechWithBrett,Video - YouTube,,Ryan's List,Tech,Utah - US,Money & Work,,,
Brian Read,Automate Your Life,https://www.youtube.com/@AutomateYourLife,Video - YouTube,,Ryan's List,Tech,Canada,Money & Work,,,
Michael Graff,Charlotte Optimist,https://charlotteoptimist.com/,Newsletter - Beehiiv,,Ryan's List,"Local news, Positive News","Charlotte, NC","Civic Life, General News",,,
Brady Dale,Front Stage Exit,https://www.frontstageexit.com/,Newsletter - Substack,,Ryan's List,Tech,"New York, NY",Money & Work,,,
Cory Haik,The Intersect,https://podcasts.apple.com/us/podcast/the-intersect-with-cory-corrine/id1811186932,Podcast,,Ryan's List,Tech,"New York, NY",Money & Work,,,
Joe Snell,Joe Snell Reports,https://www.instagram.com/joesnellreports,Video - Instagram,,Ryan's List,World,Iraq,General News,,,
Masuma Ahuja,The Possibility Economy,https://possibilityeconomy.substack.com/,Newsletter - Substack,,Ryan's List,"Finance/Economics, Culture",Dubai,"Culture & Media, Money & Work",,,
Margot De Broglie,The Possibility Economy,https://possibilityeconomy.substack.com/,Newsletter - Substack,,Ryan's List,"Finance/Economics, Culture",United Kingdom,"Culture & Media, Money & Work",,,
Kevin Cirilli,Meet the Future,https://mtf.tv/,Newsletter - Substack,,Ryan's List,Tech,"Washington, D.C.",Money & Work,,,
Colin Rocker,Career Colin,https://www.linkedin.com/in/colinrocker/,Social - LinkedIn,https://www.tiktok.com/@careercolin,Ryan's List,"Identity/Belonging, Careers",National - US,"Money & Work, Social Issues",,,
Baxstar Jonmarie Ferguson,Well Beings News,https://well.beings.news/,Newsletter - Beehiiv,,Ryan's List,"Identity/Belonging, LGBTQIA, Health/Wellness",International,"Science, Health & Environment, Social Issues",,,
Shermann Dilla Thomas,Chicago Mahogany,https://www.tiktok.com/@6figga_dilla,Video - TikTok,https://www.instagram.com/6figga_dilla/?hl=en,Ryan's List,"Local, History","Chicago, IL","Culture & Media, Civic Life",,,
Nathan Graber-Lipperman,Creator Mag,https://www.creatormag.blog/,Newsletter - Substack,,Ryan's List,"Explanatory, Internet Culture","Chicago, IL","Journalism Formats, Culture & Media",,,Creator Mag is ending/ becoming something new?
柴静 Chai Jing,柴静 Chai Jing,https://www.youtube.com/@chaijing2023,Video - YouTube,https://chaijing.substack.com/,Megan Cattel,"Investigative, Climate/Environment",International,"Science, Health & Environment, Journalism Formats",,,
Kyle Lybarger,Kyle Lybarger,https://www.tiktok.com/@nativeplanttok,Video - TikTok,https://www.instagram.com/nativehabitatproject/,Ryan's List,"Climate/Environment, Explanatory",Alabama - US,"Science, Health & Environment, Journalism Formats",,,
Matt Bernstein,mattxiv,https://www.instagram.com/mattxiv/?hl=en,Video - Instagram,,Ryan's List,"LGBTQIA, Politics, Internet Culture","New York, NY","Culture & Media, Social Issues, Power & Politics",,,
Jason Del Ray,The Aisle,https://www.readtheaisle.com/,Newsletter - Beehiiv,,Ryan's List,Tech,New Jersey - US,Money & Work,,,
Mac Cumpian,Mac Facts NYC,https://www.instagram.com/macfactsnyc/,Video - Instagram,https://www.tiktok.com/@macfactsnyc,Ryan's List,"Museums, Things to do","New York, NY","Culture & Media, Lifestyle & Personal Life",,,
Alex Konrad,Upstarts Media,https://www.upstartsmedia.com/about,Newsletter - Substack,https://www.linkedin.com/in/alexrkonrad/,Ryan's List,Tech,"New York, NY",Money & Work,,,
Joshua Doss,doss.discourse,https://www.instagram.com/doss.discourse/,Video - Instagram,https://www.tiktok.com/@joshuadoss314,Project C Top Fifty Nominee,Politics,"Chicago, IL",Power & Politics,,,
Caleb Harmon-Marshall,Gate Access,https://www.tiktok.com/@travelwiththeharmony,Video - TikTok,https://gateaccess.substack.com/,Project C Top Fifty Nominee,Travel,"Atlanta, GA",Lifestyle & Personal Life,,,Travel example
V Spehar,Under the Desk News,https://www.tiktok.com/@underthedesknews,Video - TikTok,https://www.instagram.com/underthedesknews/,Project C Top Fifty Nominee,"General News, Politics","Rochester, NY","General News, Power & Politics",,,
Sham Jaff,What happened last week,https://gishty.com/newsletters/what-happened-last-week,Newsletter - Other,,Project C Top Fifty Nominee,World,International,General News,,,
Ed Zitron,Where's Your Ed At,https://www.wheresyoured.at/,Newsetter - Ghost,https://bsky.app/profile/edzitron.com,Project C Top Fifty Nominee,Tech,"Las Vegas, NV",Money & Work,,,
Ty Burr,Ty Burr's Watch List,https://www.tyburrswatchlist.com/,Newsetter - Ghost,,Project C Top Fifty Nominee,"Entertainment/Hollywood, Film/Movies",National - US,Culture & Media,,,
Phil Rosen,Opening Bell Daily,https://www.openingbelldailynews.com/,Newsletter - Beehiiv,https://www.linkedin.com/in/philrosen/,Project C Top Fifty Nominee,Finance/Economics,"New York, NY",Money & Work,,,
Radley Balko,The Watch,https://radleybalko.substack.com/,Newsletter - Substack,,Project C Top Fifty Nominee,"Crime, Investigative",National - US,"Civic Life, Journalism Formats",,,"Criminal Justice, former wapo"
Chris D'angelo,Public Domain,https://www.publicdomain.media/,Newsletter - Substack,https://x.com/c_m_dangelo,Project C Top Fifty Nominee,Climate/Environment,Maine - US,"Science, Health & Environment",,,
Dan Harris,10% Happier,https://www.danharris.com/,Newsletter - Substack,https://www.instagram.com/danharris/,Project C Top Fifty Nominee,Health/Wellness,"New York, NY","Science, Health & Environment",,,
Ken Klippenstein,Ken Klippenstein,https://www.kenklippenstein.com/,Newsletter - Substack,https://blueskydirectory.com/profiles/kenklippenstein.bsky.social,Project C Top Fifty Nominee,"Politics, National Security",National - US,Power & Politics,,,Banned on X for leaking docs
Paul Krugman,Paul Krugman,https://paulkrugman.substack.com/,Newsletter - Substack,,Project C Top Fifty Nominee,"Finance/Economics, World","New York, NY","Money & Work, General News",,,
Hamilton Nolan,How Things Work,https://www.hamiltonnolan.com/,Newsletter - Substack,https://x.com/hamiltonnolan?lang=en,Project C Top Fifty Nominee,Media/Power,National - US,Culture & Media,,,
Tara Palmeri,The Red Letter,https://www.tarapalmeri.com/,Newsletter - Substack,https://www.youtube.com/tarapalmeri,Project C Top Fifty Nominee,"Politics, Media/Power","Washington, D.C.","Culture & Media, Power & Politics",,,Politics
Sam Robinson,Detroit One Million,https://www.detroitonemillion.com/,Newsletter - Substack,https://x.com/samueljrob,Project C Top Fifty Nominee,Local news,"Detroit, MI",Civic Life,,,
Aaron Rupar,Public Notice,https://www.publicnotice.co/,Newsletter - Substack,https://x.com/atrupar,Project C Top Fifty Nominee,Politics,"Washington, D.C.",Power & Politics,,,Pollster
Frank Shyong,Lunch Box,https://frankbear.substack.com/,Newsletter - Substack,https://x.com/frankshyong,Project C Top Fifty Nominee,"Food, Identity/Belonging, Local","Los Angeles, CA","Lifestyle & Personal Life, Social Issues, Civic Life",,,
Briahna Gray,Bad Faith,https://www.youtube.com/@BadFaithPodcast,Video - YouTube,https://x.com/briebriejoy,Project C Top Fifty Nominee,Politics,National - US,Power & Politics,,,Politics
Mehdi Hasan,Zeteo,https://zeteo.com/,Newsletter - Substack,https://www.youtube.com/@zeteo,Project C Top Fifty Nominee,Politics,International,Power & Politics,,,"Another obvious one that's a big outlet but he does own it. Also, politics"
Christophe Haubursin,Tunnel Vision,https://www.youtube.com/@christophe,Video - YouTube,,Project C Top Fifty Nominee,Tech,"New York, NY",Money & Work,,,
Megalag,The Honey Trap,https://www.youtube.com/@MegaLag,Video - YouTube,,Project C Top Fifty Nominee,"Investigative, Tech, World",International,"Journalism Formats, Money & Work, General News",,,
Marc Elias,Democracy Docket,https://www.youtube.com/democracydocket,Video - YouTube,,Project C Top Fifty Nominee,"Politics, Government Accountability","Washington, D.C.",Power & Politics,,,Marc NOT involved in the news side of this but IS involved in the opinion side
Jared Dashevsky,Healthcare Huddle,https://www.healthcarehuddle.com/,Newsletter - Beehiiv,,Project C Top Fifty Nominee,"Health/Wellness, Tech","New York, NY","Science, Health & Environment, Money & Work",,,
Rachel Karten,Link in Bio,https://www.milkkarten.net/,Newsletter - Substack,,Project C Top Fifty Nominee,"Tech, Media/Power, Culture","Los Angeles, CA","Culture & Media, Money & Work",,,
Jacqueline Nesi,Techno Sapiens,https://technosapiens.substack.com/,Newsletter - Substack,,Project C Top Fifty Nominee,"Health/Wellness, Tech, Parenting",Rhode Island - US,"Science, Health & Environment, Lifestyle & Personal Life, Money & Work",,,
Emily Oster,Parent Data,https://parentdata.org/,Website,https://www.instagram.com/profemilyoster/?hl=en,Project C Top Fifty Nominee,Parenting,Rhode Island - US,Lifestyle & Personal Life,,,
Ben Thompson,Stratechery,https://stratechery.com/,Website,https://x.com/benthompson?lang=en,Project C Top Fifty Nominee,"Tech, Media/Power",Taiwan,"Culture & Media, Money & Work",,,
