slug,creator_name,creator_channel,platform_primary,topic,tier,bsky_handle,bsky_display_name,bsky_followers,bsky_description,match_score,match_confidence,bsky_profile_url,reviewer_decision,notes
michael-jones,Michael Jones,Once Upon a Hill,Newsletter - Substack,"Politics, Government Accountability, Investigative",1,mjonescorrea.bsky.social,Michael Jones-Correa,0,"Political scientist at UPenn: immigrants and politics, cities, and other things.",4,MEDIUM,https://bsky.app/profile/mjonescorrea.bsky.social,,
miguel-lago,Miguel Lago,Miguel Lago,Social - Twitter / X,Tech,1,joaomiguellago.bsky.social,João Miguel Lago,0,,5,MEDIUM,https://bsky.app/profile/joaomiguellago.bsky.social,,
packy-mccormick,Packy McCormick,Not Boring,Newsletter - Substack,Finance/Economics,1,packym.bsky.social,Packy McCormick,0,Not Boring,4,MEDIUM,https://bsky.app/profile/packym.bsky.social,,
phillip-lewis,Phillip Lewis,What I'm Reading,Newsletter - Substack,"Identity/Belonging, General News, Media/Power",1,ekhornbeck.bsky.social,Phillip Lewis,0,"Author of The Barrowfields (Hogarth); also, civil litigation in the Carolinas to keep the lights on.",4,MEDIUM,https://bsky.app/profile/ekhornbeck.bsky.social,,
rashmee-roshan-lall,Rashmee Roshan Lall,"This Week, Those Books",Newsletter - Substack,"Foreign Policy, Books/Writing, Politics",1,rashmee.bsky.social,Dr Rashmee Roshan Lall,0,"Journalist by trade & inclination. PhD. FRSA. 
Lecturer @goldsmithsuol.bsky.social
Novel The Pomegranate Peace, Hachette",4,MEDIUM,https://bsky.app/profile/rashmee.bsky.social,,
richard-heydarian,Richard Heydarian,Deep Dive with Richard Heydarian,Newsletter - Substack,"Politics, Foreign Policy, World",1,richheydarian.bsky.social,Richard Heydarian,0,Global affairs academic/ TV Host 📚📺🖋️ Podcaster “Deep Dive” 🎙️ Columnist @inquirerdotnet; Senior Lecturer @UPAsianCenter,5,MEDIUM,https://bsky.app/profile/richheydarian.bsky.social,,
russ-roberts,Russ Roberts,EconTalk,Podcast,Finance/Economics,1,kh6jrm.bsky.social,Russ Roberts,0,Retired news and public service director for Pacific Radio Group on Hawaii Island.  Licensed FCC Amateur Radio Operator ,4,MEDIUM,https://bsky.app/profile/kh6jrm.bsky.social,,
samuel-perry,Samuel Perry,Samuel Perry,Newsletter - Substack,Faith/Religion,1,profsamperry.bsky.social,Samuel Perry,0,Professor | 2026-2027 Russell Sage Foundation Visiting Scholar | Books: Growing God's Family; Addicted to Lust; Taking A,4,MEDIUM,https://bsky.app/profile/profsamperry.bsky.social,,
sarah-jaffe,Sarah Jaffe,Belabored,Newsletter - Substack,Labor/Workers Rights,1,sarahljaffe.bsky.social,Sarah Jaffe,0,"Troublemaker. Vagrant. Author of From the Ashes, Work Won't Love You Back and Necessary Trouble.",4,MEDIUM,https://bsky.app/profile/sarahljaffe.bsky.social,,
saul,Saul,Remote Queer,Newsletter - Ghost,"Travel, LGBTQIA",1,saulwilliams.bsky.social,Saul Williams ,0,Poet,5,MEDIUM,https://bsky.app/profile/saulwilliams.bsky.social,,
stephanie-williams,Stephanie Williams,La Fronde,Newsletter - Beehiiv,"Media/Power, Gender",1,stephwilliams.bsky.social,Stephanie Williams,0,"Writer. Avid Charles Xavier hater. Written comics for MARVEL COMICS, DC COMICS, IDW, BOOM, ONI PRESS, and more.",5,MEDIUM,https://bsky.app/profile/stephwilliams.bsky.social,,
thomas-goetz,Thomas Goetz,Drug Story,Podcast,Health/Wellness,1,thgoetz.bsky.social,Thomas Goetz,0,sometime journalist someplace,5,MEDIUM,https://bsky.app/profile/thgoetz.bsky.social,,
todd-moss,Todd Moss,Eat More Electrons,Newsletter - Substack,Climate/Environment,1,toddzilla72.bsky.social,Todd Moss,0,"Christian, husband, father, USN veteran, VP Navy, Michigander, #Maine lover, anti fascist, and concerned citizen.  Go Bl",4,MEDIUM,https://bsky.app/profile/toddzilla72.bsky.social,,
trung-phan,Trung Phan,Trung Phan,Newsletter - Substack,Finance/Economics,1,ikimus.bsky.social,Trung Phan,0,,4,MEDIUM,https://bsky.app/profile/ikimus.bsky.social,,
emily-smith,Emily Smith,Friendly Neighbor Epidemiologist,Newsletter - Substack,Health/Wellness,1,essegyptologist.bsky.social,"Emily Smith-Sangster, PhD",0,Archaeologist | Visiting Assistant Professor x 2 | Associate Director of the Abydos South Project | Scholar interested i,3,LOW,https://bsky.app/profile/essegyptologist.bsky.social,,
jessica-malaty-rivera,Jessica Malaty Rivera,Jessica Malaty Rivera,Social - Instagram,Health/Wellness,1,jessicamalaty.bsky.social,"Jessica Malaty Rivera, MS",0,"Infectious Disease Epidemiologist & Science Communicator 
Tracking Pandemics & Infodemics @bsph-chs
DrPH student @JohnsH",3,LOW,https://bsky.app/profile/jessicamalaty.bsky.social,,
jessica-malaty-rivera,Jessica Malaty Rivera,Jessica Malaty Rivera,Social - Instagram,Health/Wellness,1,makingsciencemakesense.skystack.xyz,"Jessica Malaty Rivera, MS",0,Infectious Disease Epidemiologist | Infodemiologist | Science Communicator | Mama of 3 | Here to make it all make sense.,3,LOW,https://bsky.app/profile/makingsciencemakesense.skystack.xyz,,
jillian-melero,Jillian Melero,Connect Puerto Rico,Newsletter - Other,Energy,1,jillianmelero.bsky.social,Jillian,0,"Journalist • Editor • Founder @ Connect Puerto Rico
https://connect-puerto-rico.beehiiv.com/subscribe
2nd gen NuYorican.",3,LOW,https://bsky.app/profile/jillianmelero.bsky.social,,
ken-white,Ken White,The PopeHat Report,Newsletter - Beehiiv,Law/Legal Issues,1,kenwhite.bsky.social,The Popehat Fits Fine,0,"Ken White, criminal defense attorney and First Amendment litigator.  Co-host of Serious Trouble podcast and writer at Th",3,LOW,https://bsky.app/profile/kenwhite.bsky.social,,
sandro-galea,Sandro Galea,The Healthiest Goldfish,Newsletter - Substack,Health/Wellness,1,sandrogalea.skystack.xyz,The Healthiest Goldfish,0,"Health is not healthcare. I write about the foundational forces that shape health.


This is an automated Substack Accou",3,LOW,https://bsky.app/profile/sandrogalea.skystack.xyz,,
adam-schrader,Adam Schrader,Urgent Matter,Newsletter - Ghost,"Art, Culture, Museums",1,,,,,0,NO_MATCH,,,
alexandra-fasulo,Alexandra Fasulo,House Of Green,Newsletter - Substack,Climate/Environment,1,,,,,0,NO_MATCH,,,
ali-slagle,Ali Slagle,40 Ingredients Forever,Newsletter - Substack,"Recipes, Food",1,,,,,0,NO_MATCH,,,
alisa-tang,Alisa Tang,Alisa Daily Dose,Newsletter - Beehiiv,Local,1,,,,,0,NO_MATCH,,,
alison-roman,Alison Roman,a newsletter ,Newsletter - Substack,"Food, Day in a Life",1,,,,,0,NO_MATCH,,,
alix-bryant,Alix Bryant,The Mah Jongg Insider,Newsletter - Beehiiv,Culture,1,,,,,0,NO_MATCH,,,
allie-jones,Allie Jones,Gossip Time,Newsletter - Substack,"Culture, Entertainment/Hollywood",1,,,,,0,NO_MATCH,,,
alon-levy,Alon Levy,Pedestrian Observations,Newsletter - Substack,Transportation,1,,,,,0,NO_MATCH,,,
alyssa-rosenberg,Alyssa Rosenberg,Across the Movie Aisle,Newsletter - Substack,Film/Movies,1,,,,,0,NO_MATCH,,,
amanda-montei,Amanda Montei,Mad Woman,Newsletter - Substack,"Gender, Internet Culture, Parenting",1,,,,,0,NO_MATCH,,,
amanda-royal,Amanda Royal,Earth Hope,Newsletter - Substack,"Climate/Environment, Positive News",1,,,,,0,NO_MATCH,,,
ambreen-ali,Ambreen Ali,Central Desi,Newsletter - Beehiiv,"Local, Culture",1,,,,,0,NO_MATCH,,,
amy-h-peterson,Amy H. Peterson,The E'ville Good,Newsletter - Beehiiv,Local,1,,,,,0,NO_MATCH,,,
amyec3,AmyeC3,AmyeC3,Newsletter - Substack,"Housing, Real Estate",1,,,,,0,NO_MATCH,,,
analise-sesay,Analise Sesay,Good Neighbor,Newsletter - Substack,"Art, Culture, Local, Music",1,,,,,0,NO_MATCH,,,
andrea-jones-rooy,Andrea Jones-Rooy,jonesrooy,Video - Instagram,Politics,1,,,,,0,NO_MATCH,,,
andrew-donlan,Andrew Donlan,Still Gotta Come Through Chicago,Newsletter - Substack,"Sports, Local",1,,,,,0,NO_MATCH,,,
andrew-ricketts,Andrew Ricketts,Big Black Commentary,Newsletter - Substack,"Culture, Entertainment/Hollywood",1,,,,,0,NO_MATCH,,,
andy-demeo,Andy DeMeo,Granite Goodness,Newsletter - Substack,"Local, Positive News",1,,,,,0,NO_MATCH,,,
angela-saini,Angela Saini,Angela Saini,Website,Science,1,,,,,0,NO_MATCH,,,
anna-brones,Anna Brones,Creative Fuel,Newsletter - Substack,Art,1,,,,,0,NO_MATCH,,,
anne-kadet,Anne Kadet,CAFÉ ANNE,Newsletter - Substack,"Local, Comedy",1,,,,,0,NO_MATCH,,,
annie-dance,Annie Dance,Cops & Congress by Annie Dance,Newsletter - Substack,"Local, Crime, Government Accountability",1,,,,,0,NO_MATCH,,,
annie-koshy,Annie Koshy,Branding Ninja,Newsletter - Substack,"World, Politics, Business",1,,,,,0,NO_MATCH,,,
anton-sorkin,Anton Sorkin,Cross and Gavel ,Newsletter - Substack,"Faith/Religion, Law/Legal Issues",1,,,,,0,NO_MATCH,,,
arianny-valles,Arianny Valles,Pendiente mi Gente,Video - Instagram,Local,1,,,,,0,NO_MATCH,,,
ariella-steinhorn,Ariella Steinhorn,Hard Reset Media,Newsletter - Substack,"Tech, Politics",1,,,,,0,NO_MATCH,,,
barb-warden,Barb Warden,Golden Today,Website,Local,1,,,,,0,NO_MATCH,,,
barbara-bob-allen,"Barbara ""Bob"" Allen",The College Journalism Newsletter,Newsletter - Beehiiv,"Politics, Government Accountability",1,,,,,0,NO_MATCH,,,
becca-farsace,Becca Farsace,Taking Tech Outside,Video - YouTube,Tech,1,,,,,0,NO_MATCH,,,
ben-camacho,Ben Camacho,Inadvertent,Newsletter - Substack,"Investigative, Local, Government Accountability",1,,,,,0,NO_MATCH,,,
ben-werdmller,Ben Werdmüller,Werd I/O,Website,Tech,1,,,,,0,NO_MATCH,,,
bennett-z-kobb,Bennett Z. Kobb,Experimental Radio News,Newsletter - Ghost,"Tech, Policy",1,,,,,0,NO_MATCH,,,
bian-li,Bian Li,The Regenerative Futurist,Newsletter - Substack,Politics,1,,,,,0,NO_MATCH,,,
bill-nye,Bill Nye,Bill Nye,Website,Science,1,,,,,0,NO_MATCH,,,
blog-a-bull,Blog A Bull,Blogabull.com,Newsletter - Substack,"Sports, Local",1,,,,,0,NO_MATCH,,,
brady-dale,Brady Dale,Front Stage Exit,Newsletter - Substack,Tech,1,,,,,0,NO_MATCH,,,
breanna-morello,Breanna Morello,Independent Newsroom,Newsletter - Beehiiv,"Media/Power, Politics",1,,,,,0,NO_MATCH,,,
brett-bristow,Brett Bristow,Tech with Brett,Video - YouTube,Tech,1,,,,,0,NO_MATCH,,,
brian-morrissey,Brian Morrissey,The Rebooting,Newsletter - Beehiiv,"Media/Power, Tech",1,,,,,0,NO_MATCH,,,
brianna-wickey,Brianna Wickey,Scoop Charlotte,Newsletter - Beehiiv,"Local, Home, Lifestyle, Real Estate",1,,,,,0,NO_MATCH,,,
bruce-schneier,Bruce Schneier,Schneier on Security,Website,Tech,1,,,,,0,NO_MATCH,,,
bruce-unfiltered,Bruce Unfiltered,Bruce Unfiltered,Video - YouTube,Politics,1,,,,,0,NO_MATCH,,,
bryan-m-vance,Bryan M. Vance,Stumptown Savings,Newsletter - Beehiiv,"Finance/Economics, Local",1,,,,,0,NO_MATCH,,,
byrne-hobart,Byrne Hobart,The Diff,Newsletter - Other,"Finance/Economics, Tech",1,,,,,0,NO_MATCH,,,
cahal-moran,Cahal Moran,Unlearning Economics,Video - YouTube,Finance/Economics,1,,,,,0,NO_MATCH,,,
cara-goodwin,Cara Goodwin,Parenting Translator,Newsletter - Substack,Parenting,1,,,,,0,NO_MATCH,,,
carldez-goodley,Carldez Goodley,Hoodanchorye,Video - Instagram,Local,1,,,,,0,NO_MATCH,,,
caroline-patton,Caroline Patton,Chicago Show Calendar,Newsletter - Substack,"Culture, Local, Music, Things to Do",1,,,,,0,NO_MATCH,,,
catherine-goetze,Catherine Goetze,CatGPT,Video - Instagram,Tech,1,,,,,0,NO_MATCH,,,
catilin-johnstone,Catilin Johnstone,Caitlin's Newsletter,Newsletter - Substack,"Politics, Foreign Policy",1,,,,,0,NO_MATCH,,,
charlie-kilman,Charlie Kilman,Our Changing Climate,Video - YouTube,Climate/Environment,1,,,,,0,NO_MATCH,,,
charlotte-salley,Charlotte Salley,Hot Bones,Newsletter - Beehiiv,"Local, Health/Wellness",1,,,,,0,NO_MATCH,,,
chris-dangelo,Chris D'angelo,Public Domain,Newsletter - Substack,Climate/Environment,1,,,,,0,NO_MATCH,,,
christiana-figueres,Christiana Figueres,Outrage + Optimism,Podcast,Climate/Environment,1,,,,,0,NO_MATCH,,,
christophe-haubursin,Christophe Haubursin,Tunnel Vision,Video - YouTube,Tech,1,,,,,0,NO_MATCH,,,
christopher-barnatt,Christopher Barnatt,ExplainingComputers,Video - YouTube,Tech,1,,,,,0,NO_MATCH,,,
claudine-zap,Claudine Zap,Must Like Fog,Newsletter - Substack,"Real Estate, Local",1,,,,,0,NO_MATCH,,,
cleo-abram,Cleo Abram,Huge If True,Video - YouTube,Tech,1,,,,,0,NO_MATCH,,,
colin-alsheimer,Colin Alsheimer,TWIP (This Week in Podiatry),Newsletter - Other,Games/Gaming,1,,,,,0,NO_MATCH,,,
east-atlanta-anthem,Connor Nolte,East Atlanta Anthem,Newsletter - Other,Local,1,,,,,0,NO_MATCH,,,
cory-haik,Cory Haik,The Intersect,Podcast,Tech,1,,,,,0,NO_MATCH,,,
dj-byrnes,D.J. Byrnes,The Rooster,Newsletter - Substack,"Politics, Local",1,,,,,0,NO_MATCH,,,
dagogo-altraide,Dagogo Altraide,ColdFusion,Video - YouTube,Tech,1,,,,,0,NO_MATCH,,,
dan-boguslaw,Dan Boguslaw,Deeper States,Newsletter - Substack,"Investigative, Politics, Government Accountability",1,,,,,0,NO_MATCH,,,
dan-mims,Dan Mims,Daily Nutmeg,Newsletter - Other,"Local, Culture",1,,,,,0,NO_MATCH,,,
daniel-rider,Daniel Rider,Earthly Education,Video - Instagram,Climate/Environment,1,,,,,0,NO_MATCH,,,
daniela-galarza,Daniela Galarza,a petite feast,Newsletter - Substack,Food,1,,,,,0,NO_MATCH,,,
dave-borlace,Dave Borlace,Just Have a Think,Video - YouTube,Climate/Environment,1,,,,,0,NO_MATCH,,,
david-lebovitz,David Lebovitz,David Lebovitz,Newsletter - Substack,"Food, Travel",1,,,,,0,NO_MATCH,,,
david-warsh,David Warsh,Economic Principals,Newsletter - Substack,Finance/Economics,1,,,,,0,NO_MATCH,,,
daron,Da’ron,Current Fire Situation,Video - TikTok,Local,1,,,,,0,NO_MATCH,,,
dc-zesty-story,DC Zesty Story,DC Zesty Story,Social - Instagram,General News,1,,,,,0,NO_MATCH,,,
delia-cai,Delia Cai,Deez Links,Newsletter - Substack,"Media/Power, Internet Culture, Entertainment/Hollywood",1,,,,,0,NO_MATCH,,,
derek-muller,Derek Muller,Veritasium,Video - YouTube,Science,1,,,,,0,NO_MATCH,,,
dick-tofel,Dick Tofel,Second Rough Draft,Newsletter - Substack,Media/Power,1,,,,,0,NO_MATCH,,,
dina-temple-raston,Dina Temple-Raston,Click Here,Podcast,Tech,1,,,,,0,NO_MATCH,,,
dmv-the-move,DMV The Move,DMV The Move,Social - Instagram,Local,1,,,,,0,NO_MATCH,,,
doug-olaughlin,Doug O’Laughlin,Fabricated Knowledge,Newsletter - Substack,Tech,1,,,,,0,NO_MATCH,,,
dr-joel-bervell,Dr. Joel Bervell,Dr. Joel Bervell,Video - TikTok,Health/Wellness,1,,,,,0,NO_MATCH,,,
dwarkesh-patel,Dwarkesh Patel,Dwarkesh Patel,Video - YouTube,Tech,1,,,,,0,NO_MATCH,,,
eben-shapiro,Eben Shapiro,Ebenshapiro.substack,Newsletter - Substack,"Culture, Business, Tech",1,,,,,0,NO_MATCH,,,
egemba-chinonso,Egemba Chinonso,Aproko Doctor,Social - Instagram,Health/Wellness,1,,,,,0,NO_MATCH,,,
elise-granata,Elise Granata,Grouphug,Newsletter - Substack,"Media/Power, Local",1,,,,,0,NO_MATCH,,,
elizabeth-lang,Elizabeth Lang,Impulsiva Stories,Newsletter - Ghost,"Art, Culture",1,,,,,0,NO_MATCH,,,
emily-sundberg,Emily Sundberg,Feed Me,Newsletter - Substack,Culture,1,,,,,0,NO_MATCH,,,
enrique-anarte-lazo,Enrique Anarte Lazo,The Rainbow Compass,Newsletter - Substack,"LGBTQIA, Human Rights, Politics",1,,,,,0,NO_MATCH,,,
erin-calandrelli,Erin Calandrelli,Erin Calandrelli,Social - Instagram,Science,1,,,,,0,NO_MATCH,,,
ethan-strauss,Ethan Strauss,House of Strauss,Newsletter - Substack,"Sports, Culture",1,,,,,0,NO_MATCH,,,
gabe-fleisher,Gabe Fleisher,Wake Up To Politics,Video - Instagram,Politics,1,,,,,0,NO_MATCH,,,
gaby-del-valle,Gaby Del Valle,Borderlines,Newsletter - Substack,Immigration,1,,,,,0,NO_MATCH,,,
geopolitical-guy,Geopolitical Guy,Geopolitical Guy,Newsletter - Substack,"World, Explanatory",1,,,,,0,NO_MATCH,,,
gideon-meyerowitz-katz,Gideon Meyerowitz-Katz,Health Nerd,Newsletter - Substack,"Health/Wellness, Science",1,,,,,0,NO_MATCH,,,
graciela-martin,Graciela Martin,Gen33 News,Newsletter - Beehiiv,"World, Culture, Fashion",1,,,,,0,NO_MATCH,,,
guillaume-pley,Guillaume Pley,Guillaume Pley,Video - YouTube,General News,1,,,,,0,NO_MATCH,,,
h-street-beat,H Street Beat,H Street Beat,Social - Instagram,Local,1,,,,,0,NO_MATCH,,,
hank-medina,Hank Medina,Litquidity,Video - Instagram,Finance/Economics,1,,,,,0,NO_MATCH,,,
hebba-youssef,Hebba Youssef,I Hate It Here,Newsletter - Substack,Culture,1,,,,,0,NO_MATCH,,,
henok-mengistu,Henok Mengistu,Ethiopique,Website,Local,1,,,,,0,NO_MATCH,,,
henry-reich,Henry Reich,MinutePhysics,Video - YouTube,Science,1,,,,,0,NO_MATCH,,,
herb-greenberg,Herb Greenberg,On the Street,Newsletter - Substack,Finance/Economics,1,,,,,0,NO_MATCH,,,
hetty-lui-mckinnon,Hetty Lui McKinnon,"To Vegetables, With Love",Newsletter - Substack,Food,1,,,,,0,NO_MATCH,,,
hsing-huei-chou,Hsing-Huei Chou,The LA Reporter,Newsletter - Other,"Local, Politics",1,,,,,0,NO_MATCH,,,
isaac-saul,Isaac Saul,Tangle News,Newsletter - Ghost,Politics,1,,,,,0,NO_MATCH,,,
jack-cocchiarella,Jack Cocchiarella,Jack Cocchiarella,Newsletter - Substack,Politics,1,,,,,0,NO_MATCH,,,
jack-poulson,Jack Poulson,Jack Poulson,Newsletter - Substack,"Tech, National Security",1,,,,,0,NO_MATCH,,,
jacqueline-nesi,Jacqueline Nesi,Techno Sapiens,Newsletter - Substack,"Health/Wellness, Tech, Parenting",1,,,,,0,NO_MATCH,,,
james-cave,James Cave,The Jiffy,Newsletter - Beehiiv,Local,1,,,,,0,NO_MATCH,,,
jamin-ball,Jamin Ball,Clouded Judgement,Newsletter - Substack,Tech,1,,,,,0,NO_MATCH,,,
jared-dashevsky,Jared Dashevsky,Healthcare Huddle,Newsletter - Beehiiv,"Health/Wellness, Tech",1,,,,,0,NO_MATCH,,,
jason-tashea,Jason Tashea,Justice Tech Download,Newsletter - Substack,"Law/Legal Issues, Tech",1,,,,,0,NO_MATCH,,,
jatan-mehta,Jatan Mehta,jatan.space,Newsletter - Ghost,"Science, Tech",1,,,,,0,NO_MATCH,,,
jean-twenge,Jean Twenge,Generation Tech,Newsletter - Substack,"Education, Tech",1,,,,,0,NO_MATCH,,,
jeff-delaney,Jeff Delaney,Fireship,Video - YouTube,Tech,1,,,,,0,NO_MATCH,,,
jenni-monet,Jenni Monet,Indigenously,Newsletter - Other,"Investigative, Climate/Environment",1,,,,,0,NO_MATCH,,,
jennifer-chowdhury,Jennifer Chowdhury,Port Of Entry,Newsletter - Substack,Immigration,1,,,,,0,NO_MATCH,,,
jenny-rosenstrach,Jenny Rosenstrach,Dinner: A Love Story,Newsletter - Substack,"Food, Parenting",1,,,,,0,NO_MATCH,,,
jesse-jenkins,Jesse Jenkins,Princeton ZERO Lab,Website,Climate/Environment,1,,,,,0,NO_MATCH,,,
jessica-burbank,Jessica Burbank,Jessica Burbank,Video - Instagram,General News,1,,,,,0,NO_MATCH,,,
jessica-yellin,Jessica Yellin,News Not Noise,Video - Instagram,Politics,1,,,,,0,NO_MATCH,,,
joeri-schasfoort,Joeri Schasfoort,Money & Macro,Video - YouTube,Finance/Economics,1,,,,,0,NO_MATCH,,,
johanna-ferreira,Johanna Ferreira,Johanna Ferreira,Newsletter - Substack,"Identity/Belonging, Culture, Health/Wellness",1,,,,,0,NO_MATCH,,,
jon-haidt,Jon Haidt,After Babel,Newsletter - Substack,"Tech, Culture",1,,,,,0,NO_MATCH,,,
jonathan-p-thompson,Jonathan P. Thompson,The Land Desk,Newsletter - Substack,Climate/Environment,1,,,,,0,NO_MATCH,,,
jonathan-schwabish,Jonathan Schwabish,Policy Viz,Newsletter - Substack,"Explanatory, Government Accountability",1,,,,,0,NO_MATCH,,,
jonny-matthews,Jonny Matthews,Economics Explainer,Video - YouTube,Finance/Economics,1,,,,,0,NO_MATCH,,,
joseph-politano,Joseph Politano,Apricitas,Newsletter - Substack,"Labor/Workers Rights, Finance/Economics",1,,,,,0,NO_MATCH,,,
josh-mcconnel,Josh McConnel,Ctrl Alt Deliberate,Newsletter - Substack,"Tech, Media/Power",1,,,,,0,NO_MATCH,,,
joshua-trunck,Joshua Trunck,Chicago Food HQ,Video - TikTok,Tech,1,,,,,0,NO_MATCH,,,
Joy McConnochie,Joy McConnochie,Sustainable Jungle,Website,Climate/Environment,1,,,,,0,NO_MATCH,,,
julie-fratantoni-phd,Julie Fratantoni Phd,Better Brain by Dr. Julie,Newsletter - Substack,Health/Wellness,1,,,,,0,NO_MATCH,,,
julie-holstein,Julie Holstein,WARD 6,Newsletter - Beehiiv,Local,1,,,,,0,NO_MATCH,,,
kat-vargas,Kat Vargas,Howdy Politics,Video - Instagram,Politics,1,,,,,0,NO_MATCH,,,
keith-bryant,Keith Bryant,Keeping Up With Keith,Video - TikTok,Local,1,,,,,0,NO_MATCH,,,
kelly-coyne,Kelly Coyne,Guilty Pleasures,Newsletter - Substack,"Culture, Gender",1,,,,,0,NO_MATCH,,,
kelton-wright,Kelton Wright,Shangri-logs,Newsletter - Substack,"Climate/Environment, Local, Outdoors, Home",1,,,,,0,NO_MATCH,,,
kevin-cirilli,Kevin Cirilli,Meet the Future,Newsletter - Substack,Tech,1,,,,,0,NO_MATCH,,,
kris-de-decker,Kris De Decker,Low-Tech Magazine,Website,Tech,1,,,,,0,NO_MATCH,,,
kristin-kobes-dumez,Kristin Kobes DuMez,Du Mez CONNECTIONS,Newsletter - Substack,"Faith/Religion, Gender",1,,,,,0,NO_MATCH,,,
kyle-kulinski,Kyle Kulinski,Secular Talk,Video - YouTube,Politics,1,,,,,0,NO_MATCH,,,
lachlan-cartwright,Lachlan Cartwright,Breaker Media,Newsletter - Beehiiv,Media/Power,1,,,,,0,NO_MATCH,,,
landon-hustig,Landon Hustig,Wichita Life,Newsletter - Beehiiv,"Local, Things to Do, Food, Music",1,,,,,0,NO_MATCH,,,
latoya-allen,Latoya Allen,The Strategy Files,Newsletter - Beehiiv,Fashion,1,,,,,0,NO_MATCH,,,
laura-amico,Laura Amico,Scene in Boston,Newsletter - Ghost,"Local, Entertainment/Hollywood, Culture",1,,,,,0,NO_MATCH,,,
laura-angelina-hillstrom,Laura Angelina Hillstrom,OurHyattsville,Social - Instagram,Local,1,,,,,0,NO_MATCH,,,
laura-paskus,Laura Paskus,Laura Paskus,Newsletter - Substack,"Climate/Environment, Local, Government Accountability",1,,,,,0,NO_MATCH,,,
leigh-mcgowan,Leigh McGowan,PoliticsGirl,Social - Instagram,Politics,1,,,,,0,NO_MATCH,,,
leqwane-lynch,LeQwane Lynch,Calder News,Newsletter - Other,Local,1,,,,,0,NO_MATCH,,,
les-leopold,Les Leopold,Wall Street's War on Workers,Newsletter - Substack,"Labor/Workers Rights, Finance/Economics",1,,,,,0,NO_MATCH,,,
lincoln-mitchel,Lincoln Mitchel,Counter Craft,Newsletter - Substack,Books/Writing,1,,,,,0,NO_MATCH,,,
lindsey-stanberry,Lindsey Stanberry,The Purse,Newsletter - Ghost,"Personal Finance, Careers, Parenting",1,,,,,0,NO_MATCH,,,
link-lauren,Link Lauren,Link Lauren,Video - TikTok,General News,1,,,,,0,NO_MATCH,,,
liz-plank,Liz Plank,Airplane Mode,Newsletter - Substack,"Dating/Romance, Gender",1,,,,,0,NO_MATCH,,,
Lyall Mabin,Lyall Mabin,Sustainable Jungle,Website,Climate/Environment,1,,,,,0,NO_MATCH,,,
lyz-lenz,Lyz Lenz,Lyz,Newsletter - Substack,"Gender, Politics, Culture",1,,,,,0,NO_MATCH,,,
mario-gabriele,Mario Gabriele,The Generalist,Website,Finance/Economics,1,,,,,0,NO_MATCH,,,
marissa-lovell,Marissa Lovell,From Boise,Website,Local,1,,,,,0,NO_MATCH,,,
mark-bittman,Mark Bittman,The Bittman Project,Newsletter - Substack,"Food, Health/Wellness, Labor/Workers Rights",1,,,,,0,NO_MATCH,,,
mark-trahant,Mark Trahant,Mark Trahant,Newsletter - Substack,"Identity/Belonging, Policy",1,,,,,0,NO_MATCH,,,
marton-barcza,Marton Barcza,TechAltar,Video - YouTube,Tech,1,,,,,0,NO_MATCH,,,
masuma-ahuja,Masuma Ahuja,Future Possible,Newsletter - Substack,"Finance/Economics, Tech",1,,,,,0,NO_MATCH,,,
mathew-ingram,Mathew Ingram,Mathew Ingram,Newsletter - Ghost,"Tech, Media/Power",1,,,,,0,NO_MATCH,,,
matt-laslo,Matt Laslo,Ask a Pol,Newsletter - Substack,Politics,1,,,,,0,NO_MATCH,,,
matt-taibbi,Matt Taibbi,Racket News,Newsletter - Ghost,"Politics, Culture, Media/Power",1,,,,,0,NO_MATCH,,,
matt-yglesias,Matt Yglesias,Slow Boring,Newsletter - Substack,"Finance/Economics, Politics",1,,,,,0,NO_MATCH,,,
matthew-c-klein,Matthew C. Klein,The Overshoot,Newsletter - Substack,Finance/Economics,1,,,,,0,NO_MATCH,,,
matthew-zeitlin,Matthew Zeitlin,Footnoted,Newsletter - Beehiiv,Law/Legal Issues,1,,,,,0,NO_MATCH,,,
mattia-peretti,Mattia Peretti,News Alchemists,Newsletter - Ghost,"Media/Power, Tech, Careers",1,,,,,0,NO_MATCH,,,
melanie-ehrenkranz,Melanie Ehrenkranz,Laid Off,Newsletter - Substack,Media/Power,1,,,,,0,NO_MATCH,,,
melinda-wenner-moyer,Melinda Wenner Moyer,Now What,Newsletter - Substack,"Science, Parenting",1,,,,,0,NO_MATCH,,,
melissa-bunni-elian,Melissa Bunni Elian,The Leveler News,Website,Local,1,,,,,0,NO_MATCH,,,
michael-khieu,Michael Khieu,King Khieu,Video - Instagram,General News,1,,,,,0,NO_MATCH,,,
michael-nagrant,Michael Nagrant,The Hunger,Newsletter - Substack,"Restaurants and bars, Food, Local",1,,,,,0,NO_MATCH,,,
michael-ruhlman,Michael Ruhlman,Michael Ruhlman,Newsletter - Substack,Food,1,,,,,0,NO_MATCH,,,
michelle-leder,Michelle Leder,Foot Noted,Newsletter - Ghost,Law/Legal Issues,1,,,,,0,NO_MATCH,,,
miles-griffis,Miles Griffis,The Sick Times,Website,Health/Wellness,1,,,,,0,NO_MATCH,,,
